sale_id,product_id,product_name,category,employee_id,employee_name,quantity,unit_price,discount,total,sale_date,region
SALE00001,PRD0083,Toys Ultra 83,Toys,937,Emily Martinez,9,331.12,0.23,2294.66,2023-08-27,East
SALE00002,PRD0192,Home Plus 192,Home,936,Michael Rodriguez,3,802.97,0.2,1927.13,2023-09-29,South
SALE00003,PRD0085,Books Classic 85,Books,721,Chris Davis,2,577.16,0.1,1038.89,2023-06-07,North
SALE00004,PRD0037,Toys Max 37,Toys,280,David Davis,9,390.78,0.29,2497.08,2023-06-07,North
SALE00005,PRD0172,Food Plus 172,Food,441,Emily Jones,1,180.02,0.01,178.22,2023-06-13,North
SALE00006,PRD0185,Clothing Lite 185,Clothing,328,Chris Johnson,8,573.27,0.02,4494.44,2023-03-05,West
SALE00007,PRD0125,Food Pro 125,Food,605,David Martinez,6,128.95,0.18,634.43,2023-07-28,West
SALE00008,PRD0131,Electronics Lite 131,Electronics,775,Michael Jones,9,221.99,0.11,1778.14,2023-09-02,East
SALE00009,PRD0165,Food Classic 165,Food,999,David Smith,7,218.11,0.28,1099.27,2023-11-20,South
SALE00010,PRD0193,Food Plus 193,Food,226,Jessica Johnson,1,541.0,0.13,470.67,2023-01-13,West
SALE00011,PRD0106,Electronics Lite 106,Electronics,145,David Williams,10,95.07,0.11,846.12,2023-12-14,North
SALE00012,PRD0115,Home Ultra 115,Home,136,Sarah Brown,6,698.07,0.07,3895.23,2023-05-28,West
SALE00013,PRD0103,Home Lite 103,Home,710,Jessica Garcia,4,944.26,0.27,2757.24,2023-01-31,West
SALE00014,PRD0180,Electronics Lite 180,Electronics,325,David Martinez,2,243.89,0.03,473.15,2023-09-02,East
SALE00015,PRD0123,Home Lite 123,Home,565,Jessica Miller,8,764.88,0.27,4466.9,2023-02-07,North
SALE00016,PRD0005,Electronics Lite 5,Electronics,8,David Smith,10,238.32,0.06,2240.21,2023-06-05,East
SALE00017,PRD0048,Clothing Classic 48,Clothing,357,David Miller,1,371.11,0.08,341.42,2023-07-29,West
SALE00018,PRD0079,Clothing Lite 79,Clothing,424,Emily Johnson,7,697.35,0.19,3953.97,2023-03-23,East
SALE00019,PRD0105,Clothing Max 105,Clothing,230,Matthew Johnson,3,837.69,0.07,2337.16,2023-07-01,North
SALE00020,PRD0135,Books Plus 135,Books,907,Michael Rodriguez,7,361.74,0.2,2025.74,2023-03-05,East
SALE00021,PRD0164,Toys Pro 164,Toys,980,Sarah Davis,10,566.55,0.08,5212.26,2023-05-24,South
SALE00022,PRD0031,Home Pro 31,Home,846,Chris Williams,1,972.95,0.21,768.63,2023-05-14,West
SALE00023,PRD0162,Home Pro 162,Home,93,Emily Smith,8,691.49,0.08,5089.37,2023-12-11,North
SALE00024,PRD0019,Clothing Ultra 19,Clothing,412,Jane Brown,6,341.89,0.09,1866.72,2023-09-19,North
SALE00025,PRD0130,Food Classic 130,Food,921,Michael Johnson,4,993.32,0.04,3814.35,2023-05-28,East
SALE00026,PRD0027,Home Lite 27,Home,887,John Jones,6,20.14,0.08,111.17,2023-09-25,West
SALE00027,PRD0090,Electronics Ultra 90,Electronics,96,Emily Davis,7,900.22,0.23,4852.19,2023-11-21,North
SALE00028,PRD0196,Books Classic 196,Books,469,Matthew Garcia,4,690.98,0.08,2542.81,2023-10-20,South
SALE00029,PRD0127,Food Pro 127,Food,647,Jessica Rodriguez,9,354.99,0.0,3194.91,2023-10-14,South
SALE00030,PRD0033,Electronics Lite 33,Electronics,804,Sarah Brown,1,453.85,0.03,440.23,2023-01-16,South
SALE00031,PRD0025,Electronics Ultra 25,Electronics,592,Jessica Smith,5,32.43,0.12,142.69,2023-11-19,North
SALE00032,PRD0093,Toys Classic 93,Toys,286,Sarah Johnson,9,685.18,0.01,6104.95,2023-07-12,East
SALE00033,PRD0171,Home Max 171,Home,738,Sarah Smith,1,30.57,0.28,22.01,2023-02-17,East
SALE00034,PRD0007,Toys Ultra 7,Toys,909,David Smith,3,818.62,0.26,1817.34,2023-04-23,North
